# SalesOrderID,OrderDate,DueDate,ShipDate,Delivery Time (in days),Delivery Status,OnlineOrderFlag,CustomerID,ContactID,SalesPersonID,Sales Person,TerritoryID,Country,ShipToAddressID,TotalDue,salesreasonId,Sales Reason
43675,2001-07-01,2001-07-13,2001-07-08,7,On time,0,670,380,277,Jillian Carson,3,US,631,7553.7239,0,#N/A
43676,2001-07-01,2001-07-13,2001-07-08,7,On time,0,17,364,275,Michael G Blythe,5,US,755,18830.1112,0,#N/A
43677,2001-07-01,2001-07-13,2001-07-08,7,On time,0,679,377,278,Garrett R Vargas,6,Canada,556,10319.3341,0,#N/A
43678,2001-07-01,2001-07-13,2001-07-08,7,On time,0,203,447,281,Shu K Ito,4,US,1021,13012.3969,0,#N/A
43679,2001-07-01,2001-07-13,2001-07-08,7,On time,0,480,309,278,Garrett R Vargas,6,Canada,525,1737.6562,0,#N/A
43680,2001-07-01,2001-07-13,2001-07-08,7,On time,0,491,6,281,Shu K Ito,4,US,1069,15105.894,0,#N/A
43681,2001-07-01,2001-07-13,2001-07-08,7,On time,0,423,204,279,Tsvi Michael Reiter,5,US,955,18274.86,0,#N/A
43682,2001-07-01,2001-07-13,2001-07-08,7,On time,0,486,307,275,Michael G Blythe,2,US,808,5135.4906,0,#N/A
43683,2001-07-01,2001-07-13,2001-07-08,7,On time,0,506,14,283,David R Campbell,1,US,889,56729.9942,0,#N/A
43684,2001-07-01,2001-07-13,2001-07-08,7,On time,0,549,475,279,Tsvi Michael Reiter,5,US,971,7420.92,0,#N/A
43685,2001-07-01,2001-07-13,2001-07-08,7,On time,0,458,862,279,Tsvi Michael Reiter,5,US,958,3635.464,0,#N/A
43686,2001-07-01,2001-07-13,2001-07-08,7,On time,0,344,142,283,David R Campbell,1,US,871,4592.3356,0,#N/A
43687,2001-07-01,2001-07-13,2001-07-08,7,On time,0,269,147,275,Michael G Blythe,2,US,783,1668.6076,0,#N/A
43688,2001-07-01,2001-07-13,2001-07-08,7,On time,0,161,265,275,Michael G Blythe,2,US,771,16891.0829,0,#N/A
43689,2001-07-01,2001-07-13,2001-07-08,7,On time,0,166,186,277,Jillian Carson,4,US,578,45187.5136,0,#N/A
43690,2001-07-01,2001-07-13,2001-07-08,7,On time,0,431,51,275,Michael G Blythe,3,US,801,1715.5492,0,#N/A
43691,2001-07-01,2001-07-13,2001-07-08,7,On time,0,292,103,277,Jillian Carson,4,US,592,1159.9768,0,#N/A
43692,2001-07-01,2001-07-13,2001-07-08,7,On time,0,221,562,281,Shu K Ito,4,US,1024,51056.4965,0,#N/A
43693,2001-07-01,2001-07-13,2001-07-08,7,On time,0,485,8,275,Michael G Blythe,5,US,807,27204.4979,0,#N/A
43694,2001-07-01,2001-07-13,2001-07-08,7,On time,0,315,75,279,Tsvi Michael Reiter,5,US,943,27325.6232,0,#N/A
43695,2001-07-01,2001-07-13,2001-07-08,7,On time,0,27,524,279,Tsvi Michael Reiter,5,US,911,52314.3358,0,#N/A
43696,2001-07-01,2001-07-13,2001-07-08,7,On time,0,603,403,279,Tsvi Michael Reiter,5,US,977,556.2026,0,#N/A
43697,2001-07-01,2001-07-13,2001-07-08,7,On time,1,21768,13278,,#N/A,6,Canada,23148,3953.9884,9,Quality
43698,2001-07-01,2001-07-13,2001-07-08,7,On time,1,28389,14719,,#N/A,7,France,24593,3756.989,0,#N/A
43699,2001-07-01,2001-07-13,2001-07-08,7,On time,1,25863,9753,,#N/A,1,US,19613,3756.989,0,#N/A
43700,2001-07-01,2001-07-13,2001-07-08,7,On time,1,14501,10411,,#N/A,4,US,20278,772.5036,0,#N/A
43701,2001-07-01,2001-07-13,2001-07-08,7,On time,1,11003,10558,,#N/A,9,Australia,20425,3756.989,0,#N/A
43702,2001-07-02,2001-07-14,2001-07-09,7,On time,1,27645,12714,,#N/A,4,US,22584,3953.9884,9,Quality
43703,2001-07-02,2001-07-14,2001-07-09,7,On time,1,16624,14097,,#N/A,9,Australia,23967,3953.9884,9,Quality
43704,2001-07-02,2001-07-14,2001-07-09,7,On time,1,11005,6190,,#N/A,9,Australia,16025,3729.364,0,#N/A
43705,2001-07-02,2001-07-14,2001-07-09,7,On time,1,11011,17458,,#N/A,9,Australia,27345,3756.989,0,#N/A
43706,2001-07-03,2001-07-15,2001-07-10,7,On time,1,27621,3429,,#N/A,4,US,13264,3953.9884,9,Quality
43707,2001-07-03,2001-07-15,2001-07-10,7,On time,1,27616,11053,,#N/A,4,US,20923,3953.9884,9,Quality
43708,2001-07-03,2001-07-15,2001-07-10,7,On time,1,20042,8574,,#N/A,10,Great Britain,18427,772.5036,0,#N/A
43709,2001-07-03,2001-07-15,2001-07-10,7,On time,1,16351,4116,,#N/A,9,Australia,13951,3953.9884,9,Quality
43710,2001-07-03,2001-07-15,2001-07-10,7,On time,1,16517,15562,,#N/A,9,Australia,25446,3953.9884,9,Quality
43711,2001-07-04,2001-07-16,2001-07-11,7,On time,1,27606,8551,,#N/A,1,US,18404,3953.9884,9,Quality
43712,2001-07-04,2001-07-16,2001-07-11,7,On time,1,13513,11997,,#N/A,8,Germany,21867,3953.9884,9,Quality
43713,2001-07-05,2001-07-17,2001-07-12,7,On time,1,27601,2035,,#N/A,4,US,11855,3953.9884,9,Quality
43714,2001-07-05,2001-07-17,2001-07-12,7,On time,1,13591,5334,,#N/A,10,Great Britain,15169,3953.9884,9,Quality
43715,2001-07-05,2001-07-17,2001-07-12,7,On time,1,16483,18322,,#N/A,9,Australia,28213,3953.9884,9,Quality
43716,2001-07-05,2001-07-17,2001-07-12,7,On time,1,16529,13687,,#N/A,9,Australia,23557,3953.9884,9,Quality
43717,2001-07-05,2001-07-17,2001-07-12,7,On time,1,25249,1989,,#N/A,9,Australia,11809,772.5036,0,#N/A
43718,2001-07-06,2001-07-18,2001-07-13,7,On time,1,27668,15462,,#N/A,1,US,25346,3953.9884,9,Quality
43719,2001-07-06,2001-07-18,2001-07-13,7,On time,1,27612,4019,,#N/A,4,US,13854,3953.9884,9,Quality
43720,2001-07-06,2001-07-18,2001-07-13,7,On time,1,13264,8731,,#N/A,8,Germany,18584,3953.9884,9,Quality
43721,2001-07-06,2001-07-18,2001-07-13,7,On time,1,13590,12276,,#N/A,10,Great Britain,22146,3953.9884,9,Quality
43722,2001-07-07,2001-07-19,2001-07-14,7,On time,1,13581,14120,,#N/A,10,Great Britain,23990,3953.9884,9,Quality
43723,2001-07-07,2001-07-19,2001-07-14,7,On time,1,14520,2879,,#N/A,1,US,12708,772.5036,0,#N/A
43724,2001-07-07,2001-07-19,2001-07-14,7,On time,1,16520,15688,,#N/A,9,Australia,25572,3953.9884,9,Quality
43725,2001-07-08,2001-07-20,2001-07-15,7,On time,1,13258,13574,,#N/A,8,Germany,23444,3953.9884,9,Quality
43726,2001-07-08,2001-07-20,2001-07-15,7,On time,1,14560,16103,,#N/A,4,US,25989,772.5036,0,#N/A
43727,2001-07-08,2001-07-20,2001-07-15,7,On time,1,16607,5667,,#N/A,9,Australia,15502,3953.9884,9,Quality
43728,2001-07-09,2001-07-21,2001-07-16,7,On time,1,27666,10749,,#N/A,4,US,20616,3953.9884,9,Quality
43729,2001-07-09,2001-07-21,2001-07-16,7,On time,1,11238,2592,,#N/A,10,Great Britain,12420,3756.989,0,#N/A
43730,2001-07-09,2001-07-21,2001-07-16,7,On time,1,25861,13863,,#N/A,4,US,23733,3756.989,0,#N/A
43731,2001-07-09,2001-07-21,2001-07-16,7,On time,1,16629,4184,,#N/A,9,Australia,14019,3953.9884,9,Quality
43732,2001-07-09,2001-07-21,2001-07-16,7,On time,1,11025,11765,,#N/A,9,Australia,21635,3729.364,0,#N/A
43733,2001-07-09,2001-07-21,2001-07-16,7,On time,1,27577,14698,,#N/A,1,US,24572,3953.9884,9,Quality
43734,2001-07-10,2001-07-22,2001-07-17,7,On time,1,27604,13354,,#N/A,1,US,23224,3953.9884,9,Quality
43735,2001-07-10,2001-07-22,2001-07-17,7,On time,1,16522,15500,,#N/A,9,Australia,25384,3953.9884,9,Quality
43736,2001-07-10,2001-07-22,2001-07-17,7,On time,1,11002,10469,,#N/A,9,Australia,20336,3756.989,0,#N/A
43737,2001-07-11,2001-07-23,2001-07-18,7,On time,1,13261,19866,,#N/A,8,Germany,29772,3953.9884,9,Quality
43738,2001-07-11,2001-07-23,2001-07-18,7,On time,1,11606,16281,,#N/A,7,France,26167,3953.9884,9,Quality
43739,2001-07-11,2001-07-23,2001-07-18,7,On time,1,13563,19358,,#N/A,10,Great Britain,29262,3953.9884,9,Quality
43740,2001-07-11,2001-07-23,2001-07-18,7,On time,1,16527,18528,,#N/A,9,Australia,28420,3953.9884,9,Quality
43741,2001-07-12,2001-07-24,2001-07-19,7,On time,1,27671,3203,,#N/A,1,US,13036,3953.9884,9,Quality
43742,2001-07-12,2001-07-24,2001-07-19,7,On time,1,13576,11096,,#N/A,10,Great Britain,20966,3953.9884,9,Quality
43743,2001-07-12,2001-07-24,2001-07-19,7,On time,1,11007,3078,,#N/A,9,Australia,12909,3756.989,0,#N/A
43744,2001-07-12,2001-07-24,2001-07-19,7,On time,1,16631,2595,,#N/A,9,Australia,12423,3953.9884,9,Quality
43745,2001-07-13,2001-07-25,2001-07-20,7,On time,1,16514,15140,,#N/A,9,Australia,25018,3953.9884,9,Quality
43746,2001-07-13,2001-07-25,2001-07-20,7,On time,1,16616,18323,,#N/A,9,Australia,28214,3953.9884,9,Quality
43747,2001-07-14,2001-07-26,2001-07-21,7,On time,1,27623,17354,,#N/A,4,US,27241,3953.9884,9,Quality
43748,2001-07-14,2001-07-26,2001-07-21,7,On time,1,27625,6820,,#N/A,1,US,16663,3953.9884,9,Quality
43749,2001-07-14,2001-07-26,2001-07-21,7,On time,1,27636,8025,,#N/A,1,US,17878,3953.9884,9,Quality
43750,2001-07-14,2001-07-26,2001-07-21,7,On time,1,11591,16808,,#N/A,7,France,26694,3953.9884,9,Quality
43751,2001-07-14,2001-07-26,2001-07-21,7,On time,1,11592,7568,,#N/A,7,France,17421,3953.9884,9,Quality
43752,2001-07-14,2001-07-26,2001-07-21,7,On time,1,13265,16084,,#N/A,8,Germany,25970,3953.9884,9,Quality
43753,2001-07-14,2001-07-26,2001-07-21,7,On time,1,16482,9575,,#N/A,9,Australia,19434,3953.9884,9,Quality
43754,2001-07-15,2001-07-27,2001-07-22,7,On time,1,27617,8846,,#N/A,1,US,18700,3953.9884,9,Quality
43755,2001-07-15,2001-07-27,2001-07-22,7,On time,1,27670,11915,,#N/A,4,US,21785,3953.9884,9,Quality
43756,2001-07-15,2001-07-27,2001-07-22,7,On time,1,19941,2736,,#N/A,10,Great Britain,12565,772.5036,0,#N/A
43757,2001-07-15,2001-07-27,2001-07-22,7,On time,1,11017,1721,,#N/A,9,Australia,11541,3729.364,0,#N/A
43758,2001-07-16,2001-07-28,2001-07-23,7,On time,1,27646,4565,,#N/A,4,US,14400,3953.9884,9,Quality
43759,2001-07-16,2001-07-28,2001-07-23,7,On time,1,13257,11646,,#N/A,8,Germany,21516,3953.9884,9,Quality
43760,2001-07-16,2001-07-28,2001-07-23,7,On time,1,16352,1874,,#N/A,9,Australia,11694,3953.9884,9,Quality
43761,2001-07-16,2001-07-28,2001-07-23,7,On time,1,16493,14577,,#N/A,9,Australia,24449,3953.9884,9,Quality
43762,2001-07-17,2001-07-29,2001-07-24,7,On time,1,27578,9155,,#N/A,4,US,19011,3953.9884,9,Quality
43763,2001-07-17,2001-07-29,2001-07-24,7,On time,1,16525,4126,,#N/A,9,Australia,13961,3953.9884,9,Quality
43764,2001-07-17,2001-07-29,2001-07-24,7,On time,1,16612,8886,,#N/A,9,Australia,18740,3953.9884,9,Quality
43765,2001-07-17,2001-07-29,2001-07-24,7,On time,1,11010,5577,,#N/A,9,Australia,15412,3756.989,0,#N/A
43766,2001-07-18,2001-07-30,2001-07-25,7,On time,1,16518,16560,,#N/A,9,Australia,26446,3953.9884,9,Quality
43767,2001-07-18,2001-07-30,2001-07-25,7,On time,1,11001,4654,,#N/A,9,Australia,14489,3729.364,0,#N/A
43768,2001-07-19,2001-07-31,2001-07-26,7,On time,1,27649,14339,,#N/A,1,US,24209,3953.9884,9,Quality
43769,2001-07-19,2001-07-31,2001-07-26,7,On time,1,21659,2538,,#N/A,6,Canada,12365,3953.9884,9,Quality
43770,2001-07-19,2001-07-31,2001-07-26,7,On time,1,27614,11169,,#N/A,1,US,21039,3953.9884,9,Quality
43771,2001-07-19,2001-07-31,2001-07-26,7,On time,1,14559,11787,,#N/A,4,US,21657,772.5036,0,#N/A
43772,2001-07-19,2001-07-31,2001-07-26,7,On time,1,16524,5865,,#N/A,9,Australia,15700,3953.9884,9,Quality
43773,2001-07-19,2001-07-31,2001-07-26,7,On time,1,16526,10134,,#N/A,9,Australia,19998,3953.9884,9,Quality
43774,2001-07-19,2001-07-31,2001-07-26,7,On time,1,16348,10318,,#N/A,9,Australia,20184,3953.9884,9,Quality
43775,2001-07-19,2001-07-31,2001-07-26,7,On time,1,11027,4726,,#N/A,9,Australia,14561,3756.989,0,#N/A
43776,2001-07-20,2001-08-01,2001-07-27,7,On time,1,13260,5567,,#N/A,8,Germany,15402,3953.9884,9,Quality
43777,2001-07-20,2001-08-01,2001-07-27,7,On time,1,16515,14998,,#N/A,9,Australia,24873,3953.9884,9,Quality
43778,2001-07-20,2001-08-01,2001-07-27,7,On time,1,11018,6594,,#N/A,9,Australia,16433,3756.989,0,#N/A
43779,2001-07-20,2001-08-01,2001-07-27,7,On time,1,25252,10981,,#N/A,9,Australia,20850,772.5036,0,#N/A
43780,2001-07-21,2001-08-02,2001-07-28,7,On time,1,11599,15964,,#N/A,7,France,25850,3953.9884,9,Quality
43781,2001-07-21,2001-08-02,2001-07-28,7,On time,1,16495,12987,,#N/A,9,Australia,22857,3953.9884,9,Quality
43782,2001-07-21,2001-08-02,2001-07-28,7,On time,1,16516,3551,,#N/A,9,Australia,13386,3953.9884,9,Quality
43783,2001-07-21,2001-08-02,2001-07-28,7,On time,1,16620,16715,,#N/A,9,Australia,26601,3953.9884,9,Quality
43784,2001-07-22,2001-08-03,2001-07-29,7,On time,1,27667,2662,,#N/A,4,US,12491,3953.9884,9,Quality
43785,2001-07-22,2001-08-03,2001-07-29,7,On time,1,11601,7385,,#N/A,7,France,17236,3953.9884,9,Quality
43786,2001-07-22,2001-08-03,2001-07-29,7,On time,1,11607,13813,,#N/A,7,France,23683,3953.9884,9,Quality
43787,2001-07-22,2001-08-03,2001-07-29,7,On time,1,29385,19442,,#N/A,8,Germany,29348,3756.989,0,#N/A
43788,2001-07-22,2001-08-03,2001-07-29,7,On time,1,11239,15605,,#N/A,10,Great Britain,25489,3729.364,0,#N/A
43789,2001-07-22,2001-08-03,2001-07-29,7,On time,1,25865,12080,,#N/A,1,US,21950,3729.364,0,#N/A
43790,2001-07-22,2001-08-03,2001-07-29,7,On time,1,25857,12001,,#N/A,1,US,21871,3756.989,0,#N/A
43791,2001-07-22,2001-08-03,2001-07-29,7,On time,1,16484,1760,,#N/A,9,Australia,11580,3953.9884,9,Quality
43792,2001-07-22,2001-08-03,2001-07-29,7,On time,1,16623,4270,,#N/A,9,Australia,14105,3953.9884,9,Quality
43793,2001-07-22,2001-08-03,2001-07-29,7,On time,1,11000,12731,,#N/A,9,Australia,22601,3756.989,0,#N/A
43794,2001-07-22,2001-08-03,2001-07-29,7,On time,1,11029,14838,,#N/A,9,Australia,24713,3756.989,0,#N/A
43795,2001-07-23,2001-08-04,2001-07-30,7,On time,1,27615,2464,,#N/A,4,US,12290,3953.9884,9,Quality
43796,2001-07-23,2001-08-04,2001-07-30,7,On time,1,17956,2040,,#N/A,7,France,11860,772.5036,0,#N/A
43797,2001-07-23,2001-08-04,2001-07-30,7,On time,1,16345,1758,,#N/A,9,Australia,11578,3953.9884,9,Quality
43798,2001-07-23,2001-08-04,2001-07-30,7,On time,1,16521,7640,,#N/A,9,Australia,17493,3953.9884,9,Quality
43799,2001-07-23,2001-08-04,2001-07-30,7,On time,1,16636,13943,,#N/A,9,Australia,23813,3953.9884,9,Quality
43800,2001-07-24,2001-08-05,2001-07-31,7,On time,1,21710,6408,,#N/A,6,Canada,16244,3953.9884,9,Quality
43801,2001-07-24,2001-08-05,2001-07-31,7,On time,1,13583,12806,,#N/A,10,Great Britain,22676,3953.9884,9,Quality
43802,2001-07-24,2001-08-05,2001-07-31,7,On time,1,11593,6146,,#N/A,7,France,15981,3953.9884,9,Quality
43803,2001-07-25,2001-08-06,2001-08-01,7,On time,1,21741,7244,,#N/A,6,Canada,17092,3953.9884,9,Quality
43804,2001-07-25,2001-08-06,2001-08-01,7,On time,1,13585,8195,,#N/A,10,Great Britain,18048,3953.9884,9,Quality
43805,2001-07-25,2001-08-06,2001-08-01,7,On time,1,14510,16198,,#N/A,1,US,26084,772.5036,0,#N/A
43806,2001-07-25,2001-08-06,2001-08-01,7,On time,1,16523,16849,,#N/A,9,Australia,26735,3953.9884,9,Quality
43807,2001-07-26,2001-08-07,2001-08-02,7,On time,1,11611,5664,,#N/A,7,France,15499,3953.9884,9,Quality
43808,2001-07-26,2001-08-07,2001-08-02,7,On time,1,13259,15064,,#N/A,8,Germany,24940,3953.9884,9,Quality
43809,2001-07-26,2001-08-07,2001-08-02,7,On time,1,16350,3060,,#N/A,9,Australia,12891,3953.9884,9,Quality
43810,2001-07-26,2001-08-07,2001-08-02,7,On time,1,11004,11101,,#N/A,9,Australia,20971,3756.989,0,#N/A
43811,2001-07-26,2001-08-07,2001-08-02,7,On time,1,11026,2057,,#N/A,9,Australia,11877,3756.989,0,#N/A
43812,2001-07-27,2001-08-08,2001-08-03,7,On time,1,27662,4017,,#N/A,4,US,13852,3953.9884,9,Quality
43813,2001-07-27,2001-08-08,2001-08-03,7,On time,1,28390,7052,,#N/A,7,France,16896,3729.364,0,#N/A
43814,2001-07-27,2001-08-08,2001-08-03,7,On time,1,25866,12069,,#N/A,1,US,21939,3729.364,0,#N/A
43815,2001-07-27,2001-08-08,2001-08-03,7,On time,1,16494,6080,,#N/A,9,Australia,15915,3953.9884,9,Quality
43816,2001-07-27,2001-08-08,2001-08-03,7,On time,1,16496,11407,,#N/A,9,Australia,21277,3953.9884,9,Quality
43817,2001-07-27,2001-08-08,2001-08-03,7,On time,1,16519,2845,,#N/A,9,Australia,12674,3953.9884,9,Quality
43818,2001-07-27,2001-08-08,2001-08-03,7,On time,1,16528,6698,,#N/A,9,Australia,16539,3953.9884,9,Quality
43819,2001-07-27,2001-08-08,2001-08-03,7,On time,1,11006,5429,,#N/A,9,Australia,15264,3756.989,0,#N/A
43820,2001-07-28,2001-08-09,2001-08-04,7,On time,1,27651,14330,,#N/A,4,US,24200,3953.9884,9,Quality
43821,2001-07-28,2001-08-09,2001-08-04,7,On time,1,27663,14961,,#N/A,4,US,24836,3953.9884,9,Quality
43822,2001-07-28,2001-08-09,2001-08-04,7,On time,1,27669,10155,,#N/A,4,US,20019,3953.9884,9,Quality
43823,2001-07-28,2001-08-09,2001-08-04,7,On time,1,19942,6153,,#N/A,10,Great Britain,15988,772.5036,0,#N/A
43824,2001-07-28,2001-08-09,2001-08-04,7,On time,1,14558,1984,,#N/A,1,US,11804,772.5036,0,#N/A
43825,2001-07-28,2001-08-09,2001-08-04,7,On time,1,16349,7110,,#N/A,9,Australia,16955,3953.9884,9,Quality
43826,2001-07-28,2001-08-09,2001-08-04,7,On time,1,11008,13873,,#N/A,9,Australia,23743,3729.364,0,#N/A
43827,2001-07-28,2001-08-09,2001-08-04,7,On time,1,25250,17636,,#N/A,9,Australia,27524,772.5036,0,#N/A
43828,2001-07-29,2001-08-10,2001-08-05,7,On time,1,27605,3294,,#N/A,1,US,13129,3953.9884,9,Quality
43829,2001-07-29,2001-08-10,2001-08-05,7,On time,1,27611,14901,,#N/A,4,US,24776,3953.9884,9,Quality
43830,2001-07-29,2001-08-10,2001-08-05,7,On time,1,16347,8711,,#N/A,9,Australia,18564,3953.9884,9,Quality
43831,2001-07-29,2001-08-10,2001-08-05,7,On time,1,11028,14288,,#N/A,9,Australia,24158,3729.364,0,#N/A
43832,2001-07-29,2001-08-10,2001-08-05,7,On time,1,13584,13967,,#N/A,10,Great Britain,23837,3953.9884,9,Quality
43833,2001-07-30,2001-08-11,2001-08-06,7,On time,1,21727,6909,,#N/A,6,Canada,16752,3953.9884,9,Quality
43834,2001-07-30,2001-08-11,2001-08-06,7,On time,1,28393,5636,,#N/A,7,France,15471,3729.364,0,#N/A
43835,2001-07-30,2001-08-11,2001-08-06,7,On time,1,19802,7548,,#N/A,6,Canada,17401,3729.364,0,#N/A
43836,2001-07-30,2001-08-11,2001-08-06,7,On time,1,26620,9402,,#N/A,6,Canada,19261,772.5036,0,#N/A
43837,2001-07-30,2001-08-11,2001-08-06,7,On time,1,11009,19429,,#N/A,9,Australia,29335,3729.364,0,#N/A
43838,2001-07-31,2001-08-12,2001-08-07,7,On time,1,27641,6493,,#N/A,4,US,16330,3953.9884,9,Quality
43839,2001-07-31,2001-08-12,2001-08-07,7,On time,1,27673,10173,,#N/A,1,US,20037,3953.9884,9,Quality
43840,2001-07-31,2001-08-12,2001-08-07,7,On time,1,17957,15660,,#N/A,7,France,25544,772.5036,0,#N/A
43841,2001-07-31,2001-08-12,2001-08-07,7,On time,1,13406,18258,,#N/A,8,Germany,28149,3953.9884,9,Quality
43842,2001-07-31,2001-08-12,2001-08-07,7,On time,1,16630,8639,,#N/A,9,Australia,18492,3953.9884,9,Quality
43843,2001-08-01,2001-08-13,2001-08-08,7,On time,0,18,521,275,Michael G Blythe,3,US,756,43843.6207,0,#N/A
43844,2001-08-01,2001-08-13,2001-08-08,7,On time,0,353,159,282,José Edvaldo Saraiva,6,Canada,503,26851.4204,0,#N/A
43845,2001-08-01,2001-08-13,2001-08-08,7,On time,0,206,446,279,Tsvi Michael Reiter,5,US,930,11376.8994,0,#N/A
43846,2001-08-01,2001-08-13,2001-08-08,7,On time,0,318,74,278,Garrett R Vargas,6,Canada,498,1252.2928,0,#N/A
43847,2001-08-01,2001-08-13,2001-08-08,7,On time,0,210,61,278,Garrett R Vargas,6,Canada,480,1200.7098,0,#N/A
43848,2001-08-01,2001-08-13,2001-08-08,7,On time,0,164,264,283,David R Campbell,1,US,851,24225.9484,0,#N/A
43849,2001-08-01,2001-08-13,2001-08-08,7,On time,0,697,371,268,Stephen Y Jiang,1,US,1104,27210.3002,0,#N/A
43850,2001-08-01,2001-08-13,2001-08-08,7,On time,0,191,451,282,José Edvaldo Saraiva,6,Canada,476,13576.8275,0,#N/A
43851,2001-08-01,2001-08-13,2001-08-08,7,On time,0,558,27,275,Michael G Blythe,2,US,816,8998.8097,0,#N/A
43852,2001-08-01,2001-08-13,2001-08-08,7,On time,0,568,411,282,José Edvaldo Saraiva,6,Canada,539,2685.142,0,#N/A
43853,2001-08-01,2001-08-13,2001-08-08,7,On time,0,11,366,282,José Edvaldo Saraiva,6,Canada,446,34946.6266,0,#N/A
43854,2001-08-01,2001-08-13,2001-08-08,7,On time,0,208,558,282,José Edvaldo Saraiva,6,Canada,478,2319.9536,0,#N/A
43855,2001-08-01,2001-08-13,2001-08-08,7,On time,0,102,511,278,Garrett R Vargas,6,Canada,462,14623.6038,0,#N/A
43856,2001-08-01,2001-08-13,2001-08-08,7,On time,0,389,224,282,José Edvaldo Saraiva,6,Canada,509,2698.7888,0,#N/A
43857,2001-08-01,2001-08-13,2001-08-08,7,On time,0,533,851,282,José Edvaldo Saraiva,6,Canada,534,9517.5305,0,#N/A
43858,2001-08-01,2001-08-13,2001-08-08,7,On time,0,36,527,275,Michael G Blythe,2,US,758,18191.9907,0,#N/A
43859,2001-08-01,2001-08-13,2001-08-08,7,On time,0,259,422,276,Linda C Mitchell,4,US,1032,5183.0624,0,#N/A
43860,2001-08-01,2001-08-13,2001-08-08,7,On time,0,1,322,280,Pamela O Ansman-Wolfe,1,US,832,14603.7393,0,#N/A
43861,2001-08-01,2001-08-13,2001-08-08,7,On time,0,584,297,279,Tsvi Michael Reiter,5,US,974,31000.8962,0,#N/A
43862,2001-08-01,2001-08-13,2001-08-08,7,On time,0,99,510,279,Tsvi Michael Reiter,5,US,919,41269.9584,0,#N/A
43863,2001-08-01,2001-08-13,2001-08-08,7,On time,0,471,312,277,Jillian Carson,4,US,611,2278.5905,0,#N/A
43864,2001-08-01,2001-08-13,2001-08-08,7,On time,0,384,833,276,Linda C Mitchell,4,US,1052,51160.0754,0,#N/A
43865,2001-08-01,2001-08-13,2001-08-08,7,On time,0,328,899,277,Jillian Carson,4,US,596,17517.8256,0,#N/A
43866,2001-08-01,2001-08-13,2001-08-08,7,On time,0,289,104,280,Pamela O Ansman-Wolfe,1,US,864,5403.8208,0,#N/A
43867,2001-08-01,2001-08-13,2001-08-08,7,On time,0,145,116,280,Pamela O Ansman-Wolfe,1,US,848,43499.583,0,#N/A
43868,2001-08-01,2001-08-13,2001-08-08,7,On time,0,478,817,282,José Edvaldo Saraiva,6,Canada,523,2846.8717,0,#N/A
43869,2001-08-01,2001-08-13,2001-08-08,7,On time,0,650,888,276,Linda C Mitchell,1,US,1099,65396.7595,0,#N/A
43870,2001-08-01,2001-08-13,2001-08-08,7,On time,0,107,219,275,Michael G Blythe,2,US,765,5713.1699,0,#N/A
